Product_code,Product_name,Product_description,Product_URL,Breadcrumb_parent,Breadcrumb_active,Product_price,Rating_Value,Rating_Count,Recommended_Prods
5RCMFHZA8QY6,Laptop Desk With Built-In Cushion-LED Light And Cup Holder -,Multi-purpose lap desk with light 8-LED lamp iluminitation with angle adjustability LED lamp on/off switch Built-in cup and pencil/pen/stylus holder Foam bead cushion provides comfortable support Flat surface provides sturdy workplace for a laptop- SKU: ZX9DBRG7782,https://walmart.com/ip/5RCMFHZA8QY6,Office Supplies,/Lap Desks,$15.90,3.7,3 ratings,"['4O3TTA1KB1CK', '23K7E27G8VK2', '3AFP4FMBBRIP', '509ES4799837', '6XE5H7DU57NK', '0ZW83UY97IC1', '187ZO9DU4OYP', '5VPJPQ2T6J5B', '4UV3WD9FFW3U', '34YSL1XM4P14', '7FXDFVQVNTGL', '7AB24VAVETMU', '6HVRE7K5EK6C', '6DIKC99K2BON', '2Y9QC4G7QZS2', '3LGBC8Y01YZM', '4HOMX1QTATZL', '1ZGAAOLRS8SZ', '1NM05EVROEX0', '2YLJUU02VE11', '73NVA0KOF7XE', '4BDN3N7BQRW9', '251U5LN21813', '65EH19PVJEAW', '16WHBQT82JN5', '19S4I8OH5JGG', '6U7CPE6M22X3', '1TUHL3I9MKQS', '40X8NAQND0OI', '4P7YHOHEJZZA']"
4AG6S2XBAIKX,Dilwe Foldable Laptop Desk Portable Adjustable Notebook Stand Table Breakfast Serving Book Reading Bed Bamboo Tray with Drawer (19.69*11.81*7.87inch),"Dilwe 1PC Adjustable Bamboo Foldable Laptop Desk Home Dormitory Bed Stand Shelf Laptop Desk Book Reading Tray Stand Description:  ★HANDMADE POLISHED + 100% ENVIRONMENTAL: This laptop bed tray finished by Natural Eco-friendly and sturdy bamboo board, Tilting, folding, stable and easy to store. ★ADJUSTABLE HEIGHT & WIDTH: Adjustable tilt and legs for better viewing experience. ★GREAT HEAT DISSIPATION AND EASY CARE: Beautiful hollowed and two flowers shape on the surface which makes the heat easy to dissipate. With aesthetic and practical function. ★NEWLY AND UNIQUE DESIGN: Worry-saving Cup-Groove. Small drawer for storing pen, note pad or phone. ★MULTI-FUNCTIONAL LAPTOP TABLE: not only work as a laptop desk, but also as a book tray of readers, writing desk for kids, tv dinner tray, serving desk for patients, laptop table, reading desk, standing desk for office workers, tablet holder, breakfasttray, coloring table, working desk in bed, on the floor, sofa, recliner, car or outdoor.  Features:  【High-Quality】Made of high-quality bamboo material with exquisite workmanship, natural, environmental-friendly, safe, sturdy and durable to use. 【Excellent Craftsmanship】The anti-collision desk horn can prevent you being scratched. The design of a button is used to adjust the table legs. 【Application】Reasonable size, foldable and lightweight that can be used as a great gift for your families or friends. 【Smart Designs】Adjustable desk panel for you comfortable reading; An anti-slip baffle that laptop won't full down easily; A small drawer for storing items, a groove for putting cup; A line cord slop that used for of fan's line cord. 【Fast Delivery】It will be shipped from USA warehouse, you can receive the goods within 4-7 days.  Specifications:  Material: Bamboo Color: Wood Color Table Extend Length : Approx. 53-58cm / 21inch-23inch Leg Length: Approx. 17.5-25cm / 6.9-9.8inch Desk Panel Length: Approx. 49.6cm / 19.5inch Removable Desk Panel Length: Approx. 32.9cm / 13inch Anti-slip Baffle Length: Approx. 15.8 / 6.2inch Drawer Size (L x W): Approx. 17.7 x 7.5cm / 7.0 x 3.0inch Weight: Approx. 2.2kg  Package Included: 1 x Portable Laptop Desk with Foldable Legs Note: Wipe with damp cloth or wash with mild detergent and dry thoroughly DO NOT SOAK ! Warm tip: dear customer, thank you for your supporting on our shop. if you have any question, please feel free to send e-mail to tell us and we will try best to service you. Made of high-quality bamboo material with exquisite workmanship,natural,environmental-friendly,safe,sturdy and durable to use Excellent craftsmanship.With flower shaped ventilation holes on surface for timely heat emission.The anti-collision desk horn can prevent you being scratched.The design of a button is used to adjust the table legs It also has many other smart designs: Adjustable desk panel for you comfortable reading,an anti-slip baffle that laptop won't full down easily,a small drawer for storing items,a groove for putting cup,a line cord slop that used for of fan's line cord ",https://walmart.com/ip/4AG6S2XBAIKX,Office Supplies,/Lap Desks,$29.98,3.9,25 ratings,"['2VKMX27ZHU74', '7J0W1J085WN4', '4ZNI0RZQBMQG', '7JAAWO3FMYWZ', '1GPAXAZOYIHL', '0ZW83UY97IC1', '19S4I8OH5JGG', '187ZO9DU4OYP', '1N0L62ESNHQV', '5056VNDXD600', '1ID6SRHH86N1', '2Y95VXO8UFSG', '40X8NAQND0OI', '2Z19Q94AOX9S', '4TJLU7FE35LF', '2YLJUU02VE11', '1SCFTD317UQ1', '4OBMZCVFV90H', '52N4ZODI8CP1', '1ZGAAOLRS8SZ', '4HOMX1QTATZL', '3LGBC8Y01YZM', '40X8NAQND0OI', '1BGA29AL212Q', '251U5LN21813', '509ES4799837', '6U7CPE6M22X3', '1TUHL3I9MKQS', '40X8NAQND0OI', '2Y9QC4G7QZS2']"
42RE6FGKN6PI,INTBUYING 10X Magnifier LED Lamp Light Magnifying White Glass Lens Desk Table Repair Tool,,https://walmart.com/ip/42RE6FGKN6PI,Health,/Daily Living Aids,$69.00,5.0,1 ratings,['Not available']
5FJUYJ4724DT,ZENSTYLE L Shaped Desk Corner Computer Gaming Laptop Table Workstation Home Office Desk,"Thanks for chooing our L Shaped Desk. Eco-friendly yet durable E1 particle boards with high glossy finish is waterproof, rust resistant, anti-skidding and easy to clean. Iron frame and legs ensures its durability and large capacity, allows you to put 2-3 laptops or monitors and peripherals on the desk. Featured leg mats add extra stability, no need to worry about the possibility of wobbling.Overall Dimensions: 58""L x 44.2""W x 28.9""H; Offers a spacious desktop to fit your laptops, monitors, keyboards, loudspeakers and desk accessories. It also provides a plenty of space for gaming setup, paperwork and other office activities. Enjoy room to spread out and get things done with this L-Shaped Desk. No additional tool required, all necessary accessories and tools are included. Simply follow the detailed instruction paper to assemble this L-shaped computer desk in dozen minutes. L-shaped corner desk offers more under-desk space to put cabinets and stretch out your legs.   Wide desktop & space saving, you will have plenty of surface space for writing, computer work and other home office activities. Great for home,office,college,any work setting! Work with the utmost comfort using our L-shaped computer desk anywhere you need! L-shaped gaming desk is made out of P2 class MDF board that appearance and functionality are classy and efficient in home/office. L desk for school in very sturdy frame that is designed in an edgy architectural look to support all your office essentials,no serious shaking or movement, very stable and secure. Specifications:Color: BlackMaterials: E1 Particle Board + Iron LegsOverall Dimensions: 58"" x 44.2"" x 28.9"" (L x W x H)Longer Side Desk Size: 39"" x 18.9"" (L x W)Shorter Side Desk Size: 25.2"" x 18.9"" (L x W)Rectangular Board Capacity: 88.2 LBS/perFan-Shaped Board Capacity: 44.1 LBSNet Weight: 36 LBS ",https://walmart.com/ip/5FJUYJ4724DT,Office Supplies,/Lap Desks,$76.99,5.0,3 ratings,"['509ES4799837', '19S4I8OH5JGG', '6U7CPE6M22X3', '1TUHL3I9MKQS', '40X8NAQND0OI', '3LGBC8Y01YZM', '4HOMX1QTATZL', '1NM05EVROEX0', '1ZGAAOLRS8SZ', '4OBMZCVFV90H', '52N4ZODI8CP1', '16WHBQT82JN5', '2YLJUU02VE11', '251U5LN21813', '4CPCL73MA687']"
6PEEFQ1UGJLX,Stable Lap Table,"Lap table comfortably shapes to your lap with cushy, beanbag base. This portable lap table provides a smooth, level surface--anywhere you sit! Featuring handy cup holder and ridged edges to prevent spills, this lap table is perfect for dining, reading, writing, crafting or enjoying puzzles andgames. Plastic tray, polyester-covered base. 17"" long x 13"" wide x 2 1/2"" high.  gives you a level surface for reading, writing, eating, or card playing Beanbag bottom Includes handy cup holder  gives you a level surface for reading, writing, eating, or card playing Beanbag bottom Includes handy cup holder ",https://walmart.com/ip/6PEEFQ1UGJLX,Office Supplies,/Lap Desks,$16.99,3.1,77 ratings,"['1F97UNPFESJB', '4O3TTA1KB1CK', '6HVRE7K5EK6C', '6ZBCE5LA0Y9W', '23K7E27G8VK2', '0ZW83UY97IC1', '5VPJPQ2T6J5B', '187ZO9DU4OYP', '19S4I8OH5JGG', '4UV3WD9FFW3U', '7FXDFVQVNTGL', '6DIKC99K2BON', '6U7CPE6M22X3', '3AFP4FMBBRIP', '2Y95VXO8UFSG', '40X8NAQND0OI', '3LGBC8Y01YZM', '1ZGAAOLRS8SZ', '4HOMX1QTATZL', '2YLJUU02VE11', '251U5LN21813', '73NVA0KOF7XE', '65EH19PVJEAW', '1NM05EVROEX0', '16WHBQT82JN5', '509ES4799837', '1TUHL3I9MKQS', '40X8NAQND0OI', '2Y9QC4G7QZS2', '1BGA29AL212Q']"
4Z3G9QTI6XID,LapGear MyDesk Lap Desk - Black,,https://walmart.com/ip/4Z3G9QTI6XID,Office Supplies,/Lap Desks,$19.99,4.8,14 ratings,['Not available']
23K7E27G8VK2,Laptop Desk with Built-In Cushion/LED Light and Cup Holder,"QVS Laptop Desk with Built-In Cushion/LED Light and Cup HolderIdeal laptop surface anytime and anywhere. Features built-in cup & pencil holder, and adjustable 8-LED gooseneck lamp. Its built-in cushion comfortably forms around your lap to create a stable base for laptop and more. It can accommodates most laptop sizes. Durable and lightweight design makes it easy to carry anywhere. It is perfect for car, home and office.  Perfect for car, home and office Accommodate most laptop sizes Built-in cup & pencil holder Adjustable 8-LED gooseneck lamp Built-in cushion forms around your lap to create a stable base Durable and lightweight design makes it easy to carry anywhere ",https://walmart.com/ip/23K7E27G8VK2,Office Supplies,/Lap Desks,$19.57,4.1,27 ratings,"['4O3TTA1KB1CK', '6ZBCE5LA0Y9W', '509ES4799837', '6XE5H7DU57NK', '3AFP4FMBBRIP', '0ZW83UY97IC1', '187ZO9DU4OYP', '5VPJPQ2T6J5B', '5BASH9DMCFEP', '3R0M4IPEU3AX', '2JWBG6T7AVW7', '2Y95VXO8UFSG', '61XNUI26ZO0X', '6DIKC99K2BON', '7AB24VAVETMU', '3LGBC8Y01YZM', '4HOMX1QTATZL', '2YLJUU02VE11', '1NM05EVROEX0', '1BGA29AL212Q', '40X8NAQND0OI', '1BGA29AL212Q', '73NVA0KOF7XE', '4OBMZCVFV90H', '1IVKG0BZNE3Y', '19S4I8OH5JGG', '6U7CPE6M22X3', '1TUHL3I9MKQS', '40X8NAQND0OI', '2Y9QC4G7QZS2']"
2Q3R8O1AUBX5,"FDW Adjustable Height 32 Inches Steel Standing Desk Coverter Stand Up Desk Home Office Computer Desk Workstation,Black","Enhance your work experience with our height adjustable desk. This dual-tiered standing desk sits on top of your current desk and gives you the benefit of standing or sitting on demand. The keyboard tray of stand up desk is removable for user preference. Transitioning between sitting and standing throughout the long work day provides numerous health benefits for the body such as increased blood flow and reduced aches and pains.Standing throughout the day also helps the mind stay alert and productive.Counterbalance tension adjusts to the weight of your desk and everything on it for easy upwards movement. Adjust to your perfect height level with unlimited adjustable points between 6"" and 13"" from the desk surface. Adjustable height desk standing desk stand up desk with keyboard tray standing desk stand up29 desk gas spring riser converter dual monitors desk standing desk stand up desk with keyboard trays standing desk stand up desk gas spring riser converter dual monitors desk standing desk stand up desk with keyboard tray standing desk stand up desk gas spring riser converter dual monitors. Adjustable Height Standing Desk, Stand Up Desk with Keyboard Tray EASILY STAND OR SIT AT YOUR DESK :This standing desk converter transitions to the perfect height with minimal effort. When you are ready to stand, simply raise your entire adjustable height desk to your desired height. A Silky-Smooth with infinite stops -creating tremendous height range adjust ability, fast and easy to move from sitting to standing height with our stand up desk. Standing desk stand up desk adjustable height desk GREATLY IMPROVE WORK EFFICIENCY :Our standing desk is perfect for people who have coma's after eating or just want to stretch a bit because it takes 1 second to adjust. Enhance your work experience with our height adjustable desk. Transitioning between sitting and standing throughout the long work day provides numerous health benefits for the body such as increased blood flow and reduced aches and pains with our stand up desk.height adjustable desk standing desk stand up desk. LARGE WOKE AREA : The extending keyboard area of our adjustable height desk is perfect, lots of room, and there is enough room for a mouse pad and mouse as well. The stand up desk designed to provide plenty of room fora monitor, laptop, and more without taking up too much space in your home or office. Help you easily manage your desktop with our adjustable height desk. stand up desk. height adjustable desk standing desk EASY TO ASSEMBLE : For our adjustable height desk Start standing right away and enjoy the benefits of increased productivity without wasting time on setup.The free stand up desk gives you plenty of workspace without straining your neck. Our standing desk brings you healthy every day! standing desk stand up desk adjustable height desk LOW DECIBEL :Our standing desk create a silent environment without bringing noise to others. Human powered with minimal carbon footprint for our adjustable height desk. Our standing desk matching handle with comfortable grip for controlled movement. Easy and quiet, no more annoying others in the same office. standing desk adjustable height desk stand up desk. Dimensions: 34.6 x 20.7 x 16.3 inches Weight: 28.8 pounds ",https://walmart.com/ip/2Q3R8O1AUBX5,Electronics,/Sit-Stand Desks,$79.99,3.8,26 ratings,"['2CCVEROXDRXI', '2152PZY9P4S6', '4WZ2IUZPE8NB', '41MY1XVP29AH', '6AE042TTUF0I', '3BRFVN6NEJGW', '56YUY258N8XD', '64O5S3EXBT1D', '7AR9R79XPLT0', '4NOQ2SLRAYG0', '6WADN3MTFD6F', '37XTGWU4BFSY', '2L82WTAU2ATS', '6VTCNYLVQMVA', '5QO6BBQECZ2H']"
6VT29LMARPS4,"Greenco Foldable Bamboo Breakfast Table Serving Tray , Labtop Desk , Bed Table","Add an elegant touch of bamboo style to your home interior with this classy serving tray.This tray can be used either as a server or a decoration holder. Whether it's breakfast, appetizers, or wine glasses, spoil your guests by serving them with this platter. Or, show off your favorite candles, keepsakes, and more on its smooth surface or simply use it as a laptop desk, bed table, etc. Bring sophisticated bamboo design to your life with this convenient and stylish serving tray. For optimum car hand wash in soapy warm water, for extended life of tray use bamboo oil occasionally. Crafted of durable natural bamboo, known to be stronger and more elegant than regular wood Ideal for serving breakfast in bed, dinner, wine or can be used as a laptop desk, hospital serving tray, or as an elegant decoration display Foldable legsfor easy storage and doubles down as a serving tray when folded! Features two hollowed out handles for easy carrying. Surrounding tray lips prevent items from falling over For optimum car hand wash in soapy warm water, for extended life of tray use bamboo oil occasionally Breakfast Tray measures approximately 17.75"" L x 12"" W x 1.5"" H when folded, 8.75"" H when standing ",https://walmart.com/ip/6VT29LMARPS4,Office Supplies,/Lap Desks,$19.99,4.5,96 ratings,"['5N9M0WSCB891', '2FUTYERAX62A', '1N0L62ESNHQV', '5056VNDXD600', '5Z9DCSSEL145', '669YSXNJJOX0', '1URVOPAPH6X0', '0RHO5KN36LNN', '4VQ2ZHEYOA3K', '3EOZMJH2CGMU', '5C8LH9KXE2QF', '3UCXWT3TCEH3', '4X4RDCIETG4L', '15SNFUXUMOWC', '4HKI06JXQO1E', '17HCAM8R9GIH', '2OR5VLD2N8D4', '4D7QZVMBUCI5', '3Q5LR7Y5RVD5', '1VWL4U66RWYG', '4JU8XECOEP7T', '2A53ID03RK9T', '6PPE228YDO14', '3575WUL5MJDV', '0WR2Z2C5OC1F', '509ES4799837', '19S4I8OH5JGG', '1TUHL3I9MKQS', '40X8NAQND0OI', '2Y9QC4G7QZS2']"
1BGA29AL212Q,LapGear® Sidekick Lap Desk with Device Ledge and Phone Holder - Gray - Fits up to 15.6 Inch Laptops - Style No. 44215,"When you need back up, the Sidekick Lap Desk is the one you can rely on. The smooth surface is ideal for keeping your laptop cool while you battle through any project. This lap desk is equipped with a phone slot to secure phones while you write notes, type a paper, or even eat. The device ledge and non-slip silicone strip work hand-in-hand to bring you added stability, keeping your laptop or tablet in place while you slay your work assignments. Always ready to face the next day, the Sidekick Lap Desk is the perfect partner.    Fits up to 15.6"" laptops: 17"" x 11"" surface dimensions. Phone slot: Holds cell phones and media devices horizontally. Non-slip support bar: Silicone bar to keep media devices stable. Comfort: Cushion filling conforms to your lap. Improved air-flow: Smooth, flat surface allows for proper laptop ventilation, as recommended by laptop manufacturers. ",https://walmart.com/ip/1BGA29AL212Q,Office Supplies,/Lap Desks,$18.18,4.4,27 ratings,"['4Z3G9QTI6XID', '5WEKAQQRL96O', '4B1ZB5TJ3I8J', '1092ATJITKMO', '6XE5H7DU57NK', '0ZW83UY97IC1', '5VPJPQ2T6J5B', '187ZO9DU4OYP', '509ES4799837', '73HZ5QR56Y08', '73NVA0KOF7XE', '7FXDFVQVNTGL', '59Y2ADFNJ61T', '6XE5H7DU57NK', '4P7YHOHEJZZA', '73NVA0KOF7XE', '3LGBC8Y01YZM', '1ZGAAOLRS8SZ', '4HOMX1QTATZL', '1SCFTD317UQ1', '1NM05EVROEX0', '251U5LN21813', '65EH19PVJEAW', '4BDN3N7BQRW9', '16WHBQT82JN5', '19S4I8OH5JGG', '1TUHL3I9MKQS', '40X8NAQND0OI', '7AB24VAVETMU', '4O3TTA1KB1CK']"
